e+CO2 cross-sections, extrapolated from Mumma et al. [1972]
5.4,0.0000000E+00,0.0000000E+00
5.5,0.0000000E+00,0.0000000E+00
5.6,0.0000000E+00,0.0000000E+00
5.7,0.0000000E+00,0.0000000E+00
5.8,0.0000000E+00,0.0000000E+00
5.9,0.0000000E+00,0.0000000E+00
6,0.0000000E+00,0.0000000E+00
6.1,0.0000000E+00,0.0000000E+00
6.2,0.0000000E+00,0.0000000E+00
6.3,0.0000000E+00,0.0000000E+00
6.4,0.0000000E+00,0.0000000E+00
6.5,0.0000000E+00,0.0000000E+00
6.6,0.0000000E+00,0.0000000E+00
6.7,0.0000000E+00,0.0000000E+00
6.8,0.0000000E+00,0.0000000E+00
6.9,0.0000000E+00,0.0000000E+00
7,0.0000000E+00,0.0000000E+00
7.1,0.0000000E+00,0.0000000E+00
7.2,0.0000000E+00,0.0000000E+00
7.3,0.0000000E+00,0.0000000E+00
7.4,0.0000000E+00,0.0000000E+00
7.5,0.0000000E+00,0.0000000E+00
7.6,0.0000000E+00,0.0000000E+00
7.7,0.0000000E+00,0.0000000E+00
7.8,0.0000000E+00,0.0000000E+00
7.9,0.0000000E+00,0.0000000E+00
8,0.0000000E+00,0.0000000E+00
8.1,0.0000000E+00,0.0000000E+00
8.2,0.0000000E+00,0.0000000E+00
8.3,0.0000000E+00,0.0000000E+00
8.4,0.0000000E+00,0.0000000E+00
8.5,0.0000000E+00,0.0000000E+00
8.6,0.0000000E+00,0.0000000E+00
8.7,0.0000000E+00,0.0000000E+00
8.8,0.0000000E+00,0.0000000E+00
8.9,0.0000000E+00,0.0000000E+00
9,0.0000000E+00,0.0000000E+00
9.1,0.0000000E+00,0.0000000E+00
9.2,0.0000000E+00,0.0000000E+00
9.3,0.0000000E+00,0.0000000E+00
9.4,0.0000000E+00,0.0000000E+00
9.5,0.0000000E+00,0.0000000E+00
9.6,0.0000000E+00,0.0000000E+00
9.7,0.0000000E+00,0.0000000E+00
9.8,0.0000000E+00,0.0000000E+00
9.9,0.0000000E+00,0.0000000E+00
10,0.0000000E+00,0.0000000E+00
10.1,0.0000000E+00,0.0000000E+00
10.2,0.0000000E+00,0.0000000E+00
10.3,0.0000000E+00,0.0000000E+00
10.4,0.0000000E+00,0.0000000E+00
10.5,0.0000000E+00,0.0000000E+00
10.6,0.0000000E+00,0.0000000E+00
10.7,0.0000000E+00,0.0000000E+00
10.8,0.0000000E+00,0.0000000E+00
10.9,0.0000000E+00,0.0000000E+00
11,1.0865332E-21,0.0000000E+00
11.1,3.8306664E-21,0.0000000E+00
11.2,6.5544723E-21,0.0000000E+00
11.3,9.2546800E-21,0.0000000E+00
11.4,1.1928018E-20,0.0000000E+00
11.5,1.4571216E-20,0.0000000E+00
11.6,1.7181002E-20,0.0000000E+00
11.7,1.9754105E-20,0.0000000E+00
11.8,2.2287255E-20,0.0000000E+00
11.9,2.4777180E-20,0.0000000E+00
12,2.7220608E-20,0.0000000E+00
12.1,2.9614270E-20,0.0000000E+00
12.2,3.1954893E-20,0.0000000E+00
12.3,3.4239207E-20,0.0000000E+00
12.4,3.6463940E-20,0.0000000E+00
12.5,3.8625822E-20,0.0000000E+00
12.6,4.0721582E-20,0.0000000E+00
12.7,4.2747947E-20,0.0000000E+00
12.8,4.4701648E-20,0.0000000E+00
12.9,4.6579413E-20,0.0000000E+00
13,4.8377971E-20,0.0000000E+00
13.1,5.0094051E-20,0.0000000E+00
13.2,5.1724381E-20,0.0000000E+00
13.3,5.3265691E-20,3.4032077E-22
13.4,5.4715057E-20,2.4763318E-21
13.5,5.6099375E-20,4.7719763E-21
13.6,5.7438585E-20,7.2073908E-21
13.7,5.8734753E-20,9.7627119E-21
13.8,5.9989943E-20,1.2418076E-20
13.9,6.1206223E-20,1.5153620E-20
14,6.2385657E-20,1.7949480E-20
14.1,6.3530311E-20,2.0785793E-20
14.2,6.4642252E-20,2.3642695E-20
14.3,6.5723544E-20,2.6500323E-20
14.4,6.6776254E-20,2.9338814E-20
14.5,6.7802448E-20,3.2138304E-20
14.6,6.8804191E-20,3.4878930E-20
14.7,6.9783548E-20,3.7540827E-20
14.8,7.0742586E-20,4.0104134E-20
14.9,7.1683371E-20,4.2548985E-20
15,7.2607968E-20,4.4855519E-20
15.1,7.3518442E-20,4.7003871E-20
15.2,7.4416861E-20,4.8984067E-20
15.3,7.5305288E-20,5.0901972E-20
15.4,7.6185791E-20,5.2791791E-20
15.5,7.7060435E-20,5.4654050E-20
15.6,7.7931286E-20,5.6489272E-20
15.7,7.8800409E-20,5.8297985E-20
15.8,7.9669870E-20,6.0080713E-20
15.9,8.0541735E-20,6.1837980E-20
16,8.1418070E-20,6.3570313E-20
16.1,8.2300940E-20,6.5278237E-20
16.2,8.3192411E-20,6.6962276E-20
16.3,8.4094549E-20,6.8622956E-20
16.4,8.5009420E-20,7.0260802E-20
16.5,8.5937835E-20,7.1876340E-20
16.6,8.6873758E-20,7.3470094E-20
16.7,8.7815376E-20,7.5042590E-20
16.8,8.8761838E-20,7.6594353E-20
16.9,8.9712294E-20,7.8125908E-20
17,9.0665894E-20,7.9637780E-20
17.1,9.1621788E-20,8.1130495E-20
17.2,9.2579126E-20,8.2604578E-20
17.3,9.3537058E-20,8.4060554E-20
17.4,9.4494734E-20,8.5498948E-20
17.5,9.5451303E-20,8.6920285E-20
17.6,9.6405917E-20,8.8325091E-20
17.7,9.7357724E-20,8.9713891E-20
17.8,9.8305875E-20,9.1087210E-20
17.9,9.9249520E-20,9.2445573E-20
18,1.0018781E-19,9.3789506E-20
18.1,1.0111989E-19,9.5119533E-20
18.2,1.0204491E-19,9.6436180E-20
18.3,1.0296203E-19,9.7739973E-20
18.4,1.0387039E-19,9.9031435E-20
18.5,1.0476915E-19,1.0031109E-19
18.6,1.0565745E-19,1.0157947E-19
18.7,1.0653444E-19,1.0283710E-19
18.8,1.0739927E-19,1.0408449E-19
18.9,1.0825110E-19,1.0532219E-19
19,1.0908907E-19,1.0655070E-19
19.1,1.0991234E-19,1.0777056E-19
19.2,1.1072004E-19,1.0898229E-19
19.3,1.1151134E-19,1.1018642E-19
19.4,1.1228539E-19,1.1138347E-19
19.5,1.1304132E-19,1.1257397E-19
19.6,1.1377830E-19,1.1375845E-19
19.7,1.1449547E-19,1.1493742E-19
19.8,1.1519198E-19,1.1611141E-19
19.9,1.1586699E-19,1.1728095E-19
20,1.1651964E-19,1.1844657E-19
20.1,1.1714908E-19,1.1960878E-19
20.2,1.1775446E-19,1.2076812E-19
20.3,1.1833458E-19,1.2192511E-19
20.4,1.1888293E-19,1.2308027E-19
20.5,1.1940030E-19,1.2423413E-19
20.6,1.1989061E-19,1.2538722E-19
20.7,1.2035775E-19,1.2654006E-19
20.8,1.2080562E-19,1.2769317E-19
20.9,1.2123813E-19,1.2884708E-19
21,1.2165916E-19,1.3000232E-19
21.1,1.2206431E-19,1.3115941E-19
21.2,1.2242735E-19,1.3231887E-19
21.3,1.2275343E-19,1.3348124E-19
21.4,1.2305101E-19,1.3464703E-19
21.5,1.2332855E-19,1.3581678E-19
21.6,1.2359449E-19,1.3697600E-19
21.7,1.2385729E-19,1.3803991E-19
21.8,1.2412541E-19,1.3901220E-19
21.9,1.2440730E-19,1.3991332E-19
22,1.2471141E-19,1.4076374E-19
22.1,1.2504621E-19,1.4158393E-19
22.2,1.2542014E-19,1.4239433E-19
22.3,1.2584167E-19,1.4321542E-19
22.4,1.2631924E-19,1.4406765E-19
22.5,1.2686131E-19,1.4497148E-19
22.6,1.2749087E-19,1.4594738E-19
22.7,1.2841193E-19,1.4701580E-19
22.8,1.2966299E-19,1.4819721E-19
22.9,1.3121191E-19,1.4951207E-19
23,1.3302652E-19,1.5098084E-19
23.1,1.3507469E-19,1.5262398E-19
23.2,1.3732425E-19,1.5455118E-19
23.3,1.3974306E-19,1.5721589E-19
23.4,1.4229897E-19,1.6059888E-19
23.5,1.4495982E-19,1.6460602E-19
23.6,1.4769347E-19,1.6914315E-19
23.7,1.5046775E-19,1.7411612E-19
23.8,1.5334838E-19,1.7943079E-19
23.9,1.5649029E-19,1.8499301E-19
24,1.5988608E-19,1.9082349E-19
24.1,1.6352496E-19,1.9742024E-19
24.2,1.6739614E-19,2.0481305E-19
24.3,1.7148884E-19,2.1295473E-19
24.4,1.7579227E-19,2.2179809E-19
24.5,1.8029564E-19,2.3129596E-19
24.6,1.8498816E-19,2.4140114E-19
24.7,1.8985904E-19,2.5206646E-19
24.8,1.9489750E-19,2.6324473E-19
24.9,2.0009276E-19,2.7488877E-19
25,2.0543401E-19,2.8695139E-19
25.1,2.1091048E-19,2.9938542E-19
25.2,2.1651137E-19,3.1214365E-19
25.3,2.2222590E-19,3.2517892E-19
25.4,2.2804329E-19,3.3844403E-19
25.5,2.3395273E-19,3.5189181E-19
25.6,2.3994346E-19,3.6547507E-19
25.7,2.4600467E-19,3.7914662E-19
25.8,2.5212558E-19,3.9285929E-19
25.9,2.5829540E-19,4.0656588E-19
26,2.6450335E-19,4.2021922E-19
26.1,2.7073863E-19,4.3377211E-19
26.2,2.7699047E-19,4.4717738E-19
26.3,2.8324807E-19,4.6038785E-19
26.4,2.8950202E-19,4.7335632E-19
26.5,2.9608306E-19,4.8603561E-19
26.6,3.0317605E-19,4.9837854E-19
26.7,3.1067120E-19,5.1033793E-19
26.8,3.1845874E-19,5.2186660E-19
26.9,3.2642890E-19,5.3291735E-19
27,3.3447190E-19,5.4344300E-19
27.1,3.4247795E-19,5.5339638E-19
27.2,3.5033730E-19,5.6286716E-19
27.3,3.5794015E-19,5.7234883E-19
27.4,3.6517674E-19,5.8188413E-19
27.5,3.7193729E-19,5.9146550E-19
27.6,3.7822206E-19,6.0108535E-19
27.7,3.8443408E-19,6.1073610E-19
27.8,3.9061818E-19,6.2041018E-19
27.9,3.9676905E-19,6.3010002E-19
28,4.0288137E-19,6.3979803E-19
28.1,4.0894985E-19,6.4949664E-19
28.2,4.1496916E-19,6.5918827E-19
28.3,4.2093399E-19,6.6886534E-19
28.4,4.2683904E-19,6.7852028E-19
28.5,4.3267899E-19,6.8814551E-19
28.6,4.3844854E-19,6.9773345E-19
28.7,4.4414236E-19,7.0727653E-19
28.8,4.4975516E-19,7.1676716E-19
28.9,4.5528161E-19,7.2619778E-19
29,4.6071641E-19,7.3556080E-19
29.1,4.6605424E-19,7.4484865E-19
29.2,4.7128980E-19,7.5405374E-19
29.3,4.7641777E-19,7.6316851E-19
29.4,4.8143285E-19,7.7218537E-19
29.5,4.8632972E-19,7.8109676E-19
29.6,4.9110307E-19,7.8989508E-19
29.7,4.9574758E-19,7.9857277E-19
29.8,5.0025796E-19,8.0712224E-19
29.9,5.0462888E-19,8.1553593E-19
30,5.0885504E-19,8.2380624E-19
30.1,5.1293112E-19,8.3192562E-19
30.2,5.1685182E-19,8.3988647E-19
30.3,5.2061182E-19,8.4768122E-19
30.4,5.2420581E-19,8.5530230E-19
30.5,5.2762848E-19,8.6274212E-19
30.6,5.3087452E-19,8.6999312E-19
30.7,5.3401816E-19,8.7704770E-19
30.8,5.3713744E-19,8.8389831E-19
30.9,5.4022748E-19,8.9053735E-19
31,5.4328339E-19,8.9695725E-19
31.1,5.4630029E-19,9.0315044E-19
31.2,5.4927328E-19,9.0910933E-19
31.3,5.5219750E-19,9.1482636E-19
31.4,5.5506803E-19,9.2029394E-19
31.5,5.5788001E-19,9.2550449E-19
31.6,5.6062855E-19,9.3045044E-19
31.7,5.6330874E-19,9.3512422E-19
31.8,5.6591572E-19,9.3951824E-19
31.9,5.6844459E-19,9.4362493E-19
32,5.7089047E-19,9.4743670E-19
32.1,5.7324847E-19,9.5094599E-19
32.2,5.7551370E-19,9.5414522E-19
32.3,5.7768128E-19,9.5702681E-19
32.4,5.7974631E-19,9.5965707E-19
32.5,5.8170392E-19,9.6222034E-19
32.6,5.8354922E-19,9.6472681E-19
32.7,5.8527731E-19,9.6717753E-19
32.8,5.8688332E-19,9.6957358E-19
32.9,5.8836236E-19,9.7191600E-19
33,5.8970953E-19,9.7420585E-19
33.1,5.9091996E-19,9.7644419E-19
33.2,5.9198875E-19,9.7863208E-19
33.3,5.9291383E-19,9.8077057E-19
33.4,5.9377407E-19,9.8286073E-19
33.5,5.9460745E-19,9.8490360E-19
33.6,5.9541417E-19,9.8690026E-19
33.7,5.9619448E-19,9.8885176E-19
33.8,5.9694860E-19,9.9075915E-19
33.9,5.9767676E-19,9.9262349E-19
34,5.9837918E-19,9.9444584E-19
34.1,5.9905610E-19,9.9622727E-19
34.2,5.9970773E-19,9.9796882E-19
34.3,6.0033431E-19,9.9967155E-19
34.4,6.0093606E-19,1.0013365E-18
34.5,6.0151322E-19,1.0029648E-18
34.6,6.0206600E-19,1.0045574E-18
34.7,6.0259464E-19,1.0061155E-18
34.8,6.0309936E-19,1.0076400E-18
34.9,6.0358040E-19,1.0091321E-18
35,6.0403797E-19,1.0105927E-18
35.1,6.0447231E-19,1.0120230E-18
35.2,6.0488364E-19,1.0134240E-18
35.3,6.0527220E-19,1.0147968E-18
35.4,6.0563820E-19,1.0161424E-18
35.5,6.0598187E-19,1.0174618E-18
35.6,6.0630345E-19,1.0187562E-18
35.7,6.0660316E-19,1.0200266E-18
35.8,6.0688123E-19,1.0212741E-18
35.9,6.0713788E-19,1.0224997E-18
36,6.0737475E-19,1.0237044E-18
36.1,6.0760302E-19,1.0248894E-18
36.2,6.0782515E-19,1.0260556E-18
36.3,6.0804129E-19,1.0272042E-18
36.4,6.0825157E-19,1.0283362E-18
36.5,6.0845614E-19,1.0294526E-18
36.6,6.0865512E-19,1.0305546E-18
36.7,6.0884865E-19,1.0316431E-18
36.8,6.0903688E-19,1.0327193E-18
36.9,6.0921993E-19,1.0337842E-18
37,6.0939795E-19,1.0348388E-18
37.1,6.0957107E-19,1.0358842E-18
37.2,6.0973943E-19,1.0369215E-18
37.3,6.0990317E-19,1.0379517E-18
37.4,6.1006242E-19,1.0389759E-18
37.5,6.1021732E-19,1.0399951E-18
37.6,6.1036801E-19,1.0410072E-18
37.7,6.1051462E-19,1.0420074E-18
37.8,6.1065730E-19,1.0429959E-18
37.9,6.1079617E-19,1.0439726E-18
38,6.1093138E-19,1.0449379E-18
38.1,6.1106306E-19,1.0458920E-18
38.2,6.1119135E-19,1.0468349E-18
38.3,6.1131639E-19,1.0477669E-18
38.4,6.1143831E-19,1.0486882E-18
38.5,6.1155726E-19,1.0495989E-18
38.6,6.1167336E-19,1.0504992E-18
38.7,6.1178676E-19,1.0513893E-18
38.8,6.1189759E-19,1.0522693E-18
38.9,6.1200599E-19,1.0531395E-18
39,6.1211209E-19,1.0540000E-18
39.1,6.1221604E-19,1.0548510E-18
39.2,6.1231797E-19,1.0556927E-18
39.3,6.1241802E-19,1.0565253E-18
39.4,6.1251632E-19,1.0573489E-18
39.5,6.1261302E-19,1.0581637E-18
39.6,6.1270824E-19,1.0589698E-18
39.7,6.1280213E-19,1.0597676E-18
39.8,6.1289482E-19,1.0605571E-18
39.9,6.1298646E-19,1.0613385E-18
40,6.1307716E-19,1.0621120E-18
40.1,6.1316709E-19,1.0628778E-18
40.2,6.1325636E-19,1.0636361E-18
40.3,6.1334513E-19,1.0643870E-18
40.4,6.1343351E-19,1.0651307E-18
40.5,6.1352166E-19,1.0658674E-18
40.6,6.1360971E-19,1.0665972E-18
40.7,6.1369780E-19,1.0673204E-18
40.8,6.1378606E-19,1.0680372E-18
40.9,6.1387463E-19,1.0687476E-18
41,6.1396365E-19,1.0694520E-18
41.1,6.1405325E-19,1.0701503E-18
41.2,6.1414358E-19,1.0708430E-18
41.3,6.1423476E-19,1.0715300E-18
41.4,6.1432694E-19,1.0722116E-18
41.5,6.1442026E-19,1.0728881E-18
41.6,6.1451484E-19,1.0735594E-18
41.7,6.1461083E-19,1.0742259E-18
41.8,6.1470837E-19,1.0748877E-18
41.9,6.1480758E-19,1.0755450E-18
42,6.1490862E-19,1.0761979E-18
42.1,6.1501161E-19,1.0768467E-18
42.2,6.1511669E-19,1.0774915E-18
42.3,6.1522400E-19,1.0781325E-18
42.4,6.1533368E-19,1.0787698E-18
42.5,6.1544586E-19,1.0794037E-18
42.6,6.1556069E-19,1.0800344E-18
42.7,6.1567829E-19,1.0806620E-18
42.8,6.1579880E-19,1.0812866E-18
42.9,6.1592237E-19,1.0819085E-18
43,6.1604913E-19,1.0825279E-18
43.1,6.1617921E-19,1.0831448E-18
43.2,6.1631276E-19,1.0837596E-18
43.3,6.1644990E-19,1.0843723E-18
43.4,6.1659078E-19,1.0849833E-18
43.5,6.1673554E-19,1.0855925E-18
43.6,6.1688431E-19,1.0862002E-18
43.7,6.1703723E-19,1.0868067E-18
43.8,6.1719443E-19,1.0874120E-18
43.9,6.1735606E-19,1.0880163E-18
44,6.1752224E-19,1.0886199E-18
44.1,6.1769312E-19,1.0892229E-18
44.2,6.1786884E-19,1.0898254E-18
44.3,6.1804953E-19,1.0904277E-18
44.4,6.1823518E-19,1.0910300E-18
44.5,6.1842352E-19,1.0916323E-18
44.6,6.1861412E-19,1.0922350E-18
44.7,6.1880753E-19,1.0928381E-18
44.8,6.1900427E-19,1.0934418E-18
44.9,6.1920488E-19,1.0940464E-18
45,6.1940987E-19,1.0946520E-18
45.1,6.1961980E-19,1.0952588E-18
45.2,6.1983517E-19,1.0958669E-18
45.3,6.2005654E-19,1.0964766E-18
45.4,6.2028442E-19,1.0970880E-18
45.5,6.2051936E-19,1.0977013E-18
45.6,6.2076187E-19,1.0983166E-18
45.7,6.2101249E-19,1.0989342E-18
45.8,6.2127176E-19,1.0995542E-18
45.9,6.2154020E-19,1.1001769E-18
46,6.2181835E-19,1.1008023E-18
46.1,6.2210673E-19,1.1014307E-18
46.2,6.2240588E-19,1.1020622E-18
46.3,6.2271633E-19,1.1026969E-18
46.4,6.2303861E-19,1.1033120E-18
46.5,6.2337325E-19,1.1038923E-18
46.6,6.2372078E-19,1.1044422E-18
46.7,6.2408173E-19,1.1049662E-18
46.8,6.2445664E-19,1.1054690E-18
46.9,6.2484603E-19,1.1059549E-18
47,6.2525044E-19,1.1064286E-18
47.1,6.2567626E-19,1.1068945E-18
47.2,6.2615677E-19,1.1073571E-18
47.3,6.2669468E-19,1.1078211E-18
47.4,6.2728703E-19,1.1082908E-18
47.5,6.2793090E-19,1.1087709E-18
47.6,6.2862335E-19,1.1092658E-18
47.7,6.2936145E-19,1.1097800E-18
47.8,6.3014226E-19,1.1103182E-18
47.9,6.3096284E-19,1.1108847E-18
48,6.3182025E-19,1.1114841E-18
48.1,6.3271157E-19,1.1121210E-18
48.2,6.3363385E-19,1.1127998E-18
48.3,6.3458416E-19,1.1135251E-18
48.4,6.3555957E-19,1.1143014E-18
48.5,6.3655713E-19,1.1151332E-18
48.6,6.3757391E-19,1.1160250E-18
48.7,6.3860698E-19,1.1169830E-18
48.8,6.3965340E-19,1.1181599E-18
48.9,6.4071023E-19,1.1196357E-18
49,6.4177454E-19,1.1213850E-18
49.1,6.4284339E-19,1.1233825E-18
49.2,6.4391384E-19,1.1256027E-18
49.3,6.4498297E-19,1.1280205E-18
49.4,6.4605326E-19,1.1306104E-18
49.5,6.4714881E-19,1.1333471E-18
49.6,6.4827241E-19,1.1362053E-18
49.7,6.4942347E-19,1.1391597E-18
49.8,6.5060140E-19,1.1421848E-18
49.9,6.5180564E-19,1.1452555E-18
50,6.5303560E-19,1.1483463E-18
50.1,6.5429070E-19,1.1514320E-18
50.2,6.5557036E-19,1.1544871E-18
50.3,6.5687401E-19,1.1574864E-18
50.4,6.5820106E-19,1.1604044E-18
50.5,6.5955094E-19,1.1632160E-18
50.6,6.6092307E-19,1.1658957E-18
50.7,6.6231686E-19,1.1684209E-18
50.8,6.6373175E-19,1.1709012E-18
50.9,6.6516714E-19,1.1734044E-18
51,6.6662247E-19,1.1759280E-18
51.1,6.6809714E-19,1.1784698E-18
51.2,6.6959059E-19,1.1810274E-18
51.3,6.7110223E-19,1.1835984E-18
51.4,6.7263149E-19,1.1861805E-18
51.5,6.7417778E-19,1.1887713E-18
51.6,6.7574053E-19,1.1913685E-18
51.7,6.7731916E-19,1.1939697E-18
51.8,6.7891308E-19,1.1965725E-18
51.9,6.8052172E-19,1.1991747E-18
52,6.8214450E-19,1.2017739E-18
52.1,6.8378085E-19,1.2043676E-18
52.2,6.8543017E-19,1.2069536E-18
52.3,6.8709190E-19,1.2095296E-18
52.4,6.8876545E-19,1.2120931E-18
52.5,6.9045025E-19,1.2146418E-18
52.6,6.9214571E-19,1.2171733E-18
52.7,6.9385125E-19,1.2196854E-18
52.8,6.9556631E-19,1.2221756E-18
52.9,6.9729029E-19,1.2246416E-18
53,6.9902262E-19,1.2270810E-18
53.1,7.0076272E-19,1.2294916E-18
53.2,7.0251001E-19,1.2318709E-18
53.3,7.0426392E-19,1.2342166E-18
53.4,7.0602385E-19,1.2365263E-18
53.5,7.0778924E-19,1.2387977E-18
53.6,7.0955951E-19,1.2410284E-18
53.7,7.1133407E-19,1.2432162E-18
53.8,7.1311234E-19,1.2453585E-18
53.9,7.1489375E-19,1.2474532E-18
54,7.1667772E-19,1.2494978E-18
54.1,7.1846367E-19,1.2514899E-18
54.2,7.2025102E-19,1.2534273E-18
54.3,7.2203920E-19,1.2553075E-18
54.4,7.2382761E-19,1.2571283E-18
54.5,7.2561568E-19,1.2588872E-18
54.6,7.2740284E-19,1.2605820E-18
54.7,7.2918850E-19,1.2622118E-18
54.8,7.3097209E-19,1.2638099E-18
54.9,7.3275303E-19,1.2653906E-18
55,7.3453073E-19,1.2669542E-18
55.1,7.3630462E-19,1.2685007E-18
55.2,7.3807412E-19,1.2700306E-18
55.3,7.3983865E-19,1.2715440E-18
55.4,7.4159763E-19,1.2730412E-18
55.5,7.4335048E-19,1.2745223E-18
55.6,7.4509662E-19,1.2759876E-18
55.7,7.4683548E-19,1.2774374E-18
55.8,7.4856647E-19,1.2788719E-18
55.9,7.5028902E-19,1.2802912E-18
56,7.5200254E-19,1.2816957E-18
56.1,7.5370646E-19,1.2830856E-18
56.2,7.5540020E-19,1.2844610E-18
56.3,7.5708318E-19,1.2858223E-18
56.4,7.5875482E-19,1.2871697E-18
56.5,7.6041454E-19,1.2885033E-18
56.6,7.6206176E-19,1.2898235E-18
56.7,7.6369590E-19,1.2911304E-18
56.8,7.6531639E-19,1.2924243E-18
56.9,7.6692264E-19,1.2937054E-18
57,7.6851408E-19,1.2949740E-18
57.1,7.7009012E-19,1.2962302E-18
57.2,7.7165019E-19,1.2974744E-18
57.3,7.7319371E-19,1.2987067E-18
57.4,7.7472010E-19,1.2999273E-18
57.5,7.7622878E-19,1.3011366E-18
57.6,7.7771916E-19,1.3023347E-18
57.7,7.7919068E-19,1.3035218E-18
57.8,7.8064276E-19,1.3046983E-18
57.9,7.8207480E-19,1.3058643E-18
58,7.8348624E-19,1.3070200E-18
58.1,7.8487650E-19,1.3081657E-18
58.2,7.8624893E-19,1.3093017E-18
58.3,7.8762054E-19,1.3104281E-18
58.4,7.8899315E-19,1.3115451E-18
58.5,7.9036649E-19,1.3126531E-18
58.6,7.9174030E-19,1.3137522E-18
58.7,7.9311434E-19,1.3148427E-18
58.8,7.9448833E-19,1.3159248E-18
58.9,7.9586203E-19,1.3169988E-18
59,7.9723518E-19,1.3180648E-18
59.1,7.9860751E-19,1.3191231E-18
59.2,7.9997877E-19,1.3201740E-18
59.3,8.0134871E-19,1.3212175E-18
59.4,8.0271705E-19,1.3222541E-18
59.5,8.0408356E-19,1.3232840E-18
59.6,8.0544796E-19,1.3243072E-18
59.7,8.0681000E-19,1.3253242E-18
59.8,8.0816943E-19,1.3263350E-18
59.9,8.0952597E-19,1.3273400E-18
60,8.1087939E-19,1.3283394E-18
60.1,8.1222942E-19,1.3293334E-18
60.2,8.1357579E-19,1.3303223E-18
60.3,8.1491826E-19,1.3313062E-18
60.4,8.1625657E-19,1.3322854E-18
60.5,8.1759045E-19,1.3332601E-18
60.6,8.1891965E-19,1.3342306E-18
60.7,8.2024391E-19,1.3351971E-18
60.8,8.2156298E-19,1.3361599E-18
60.9,8.2287659E-19,1.3371191E-18
61,8.2418450E-19,1.3380749E-18
61.1,8.2548643E-19,1.3390277E-18
61.2,8.2678213E-19,1.3399777E-18
61.3,8.2807135E-19,1.3409250E-18
61.4,8.2935383E-19,1.3418699E-18
61.5,8.3062930E-19,1.3428127E-18
61.6,8.3189752E-19,1.3437536E-18
61.7,8.3315822E-19,1.3446927E-18
61.8,8.3441114E-19,1.3456304E-18
61.9,8.3565603E-19,1.3465669E-18
62,8.3689263E-19,1.3475023E-18
62.1,8.3812069E-19,1.3484370E-18
62.2,8.3933993E-19,1.3493712E-18
62.3,8.4055012E-19,1.3503050E-18
62.4,8.4175098E-19,1.3512379E-18
62.5,8.4294226E-19,1.3521700E-18
62.6,8.4412370E-19,1.3531010E-18
62.7,8.4529505E-19,1.3540309E-18
62.8,8.4645605E-19,1.3549596E-18
62.9,8.4760643E-19,1.3558872E-18
63,8.4874595E-19,1.3568134E-18
63.1,8.4987434E-19,1.3577382E-18
63.2,8.5099134E-19,1.3586616E-18
63.3,8.5209670E-19,1.3595836E-18
63.4,8.5319016E-19,1.3605039E-18
63.5,8.5427146E-19,1.3614226E-18
63.6,8.5534035E-19,1.3623396E-18
63.7,8.5639656E-19,1.3632548E-18
