106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-                                                                                                                                                                                                                       
-,-,-,-,-,-,-,-,k or kinf,-,-,k0,-,-,krad,-,-,T range,Reference,Notes                                                                                                                                                                                           
-,R1,R2,P1,P2,P3,type,A,B,C,A,B,C,A,B,C,F,-,-,-                                                                                                                                                                                                                 
1,H           ,H           ,H2          ,-           ,-           ,4,1.00E-10,0,0,1.80E-30,-1,0,0.00E+00,0,0,0.4,200-2500,"Baulch05, Tsang86            ",kinf estimate to be >> k0[M]
2,H,O,OH,-,-,4,1.00E-10,0,0,1.30E-29,-1,0,6.00E-16,0,0,0.4,300-2500,"Tsang86,estimate_#atoms",kinf estimate to be >> k0[M]
3,H,OH,H2O,-,-,4,1.00E-10,0,0,6.10E-26,-2,0,6.00E-16,0,0,0.4,300-3000,"Baulch05,estimate_#atoms",kinf estimate to be >> k0[M]
4,H,O2,HO2,-,-           ,4,9.97E-12,0.8005,0,7.30E-29,-1.3,0,0.00E+00,0,0,0.57,113-333,Davidson78,*
5,H,HO2,H2,O2,-,2,6.90E-12,0,0,0.00E+00,0,0,0.00E+00,0,0,0,200-300,Sander11,-
6,H,HO2,OH,OH,-,2,7.20E-11,0,0,0.00E+00,0,0,0.00E+00,0,0,0,200-300,Sander11,little T variation down to 83 K according to Frost93
7,H,HO2,O,H2O,-           ,2,1.60E-12,0,0,0.00E+00,0,0,0.00E+00,0,0,0,56-296,Daranlot11,supersedes Baulch05. value from Daranlot12
8,H,H2O2,HO2,H2,-,2,2.80E-12,0,-1890,0.00E+00,0,0,0.00E+00,0,0,0,100-2000,"Gamallo06,Bergeat09",the Gamallo06 expression fits the Bergeat09 data down to 100 K
9,H,H2O2,OH,H2O,-,2,1.70E-11,0,-1800,0.00E+00,0,0,0.00E+00,0,0,0,300-400,Herron99,-
10,H,O3,OH,O2,-           ,2,1.40E-10,0,-470,0.00E+00,0,0,0.00E+00,0,0,0,298,Herron99,-
11,H,CO,HCO,-,-,0,2.00E-35,0.2,0,2.00E-35,0.2,0,0.00E+00,0,0,0.4,298,Herron99,zeroed by RVY 1/27/15
12,H,CO2,OH,CO,-,2,4.60E-10,0,-13915,0.00E+00,0,0,0.00E+00,0,0,0,200-300,Sander06,
13,H,N,NH,-,-           ,4,5.00E-16,0,0,5.00E-32,0,0,5.00E-16,0,0,0.4,298,"Brown73,estimate_#atoms",k_R = k_inf
14,H,NO2,OH,NO,-,2,4.00E-10,0,-340,0.00E+00,0,0,0.00E+00,0,0,0,300,Anderson83,
15,H,HONO,OH,HNO,-,2,9.40E-14,0.86,-2500,0.00E+00,0,0,0.00E+00,0,0,0,200-300,Sander06,
16,H,HONO,H2O,NO,-           ,2,1.35E-17,1.89,-1940,0.00E+00,0,0,0.00E+00,0,0,0,298,Herron99,
17,H,HONO,H2,NO2,-,2,3.32E-16,1.55,-3330,0.00E+00,0,0,0.00E+00,0,0,0,200-2200,Baulch05,
18,H,NO3,OH,NO2,-,2,9.40E-11,0,0,0.00E+00,0,0,0.00E+00,0,0,0,220-420,Atkinson04,*
19,O,H2,OH,H,-           ,2,6.34E-12,0,-4000,0.00E+00,0,0,0.00E+00,0,0,0,200-400,Atkinson04,
20,O,O,O2,-,-,4,1.10E-27,-2,0,5.21E-35,0,899.7,0.00E+00,0,0,0.4,200-300,"Sander06, k from Nair#5",
21,O,O1D,O,O,-,2,2.54E-12,0,0,0.00E+00,0,0,0.00E+00,0,0,0,200-300,Sander06,
22,O,OH,O2,H,-           ,2,2.00E-10,-0.35,113,0.00E+00,0,0,0.00E+00,0,0,0,298,Atkinson04,
23,O,H2O,OH,OH,-,2,8.21E-14,0.95,-8571,0.00E+00,0,0,0.00E+00,0,0,0,298,Sander06,
24,O,O2,O3,-,-,4,2.80E-12,0,0,4.47E-27,-2.8,0,0.00E+00,0,0,0.4,100-300,Atkinson97,
25,O,O2,O3,-,-           ,4,1.30E-34,0,-724,6.00E-34,2.4,0,0.00E+00,0,0,0.4,195-308,"Atkinson04/Nair(k), Sander11(k0)",
26,O,HO2,O2,OH,-,2,2.70E-11,0,224,0.00E+00,0,0,0.00E+00,0,0,0,220-1000,Baulch05,
27,O,H2O2,HO2,OH,-,2,1.40E-12,0,-2000,0.00E+00,0,0,0.00E+00,0,0,0,283-500,Baulch05,
28,O,O3,O2,O2,-           ,2,8.00E-12,0,-2060,0.00E+00,0,0,0.00E+00,0,0,0,,Sander06,
29,O,CO,CO2,-,-,4,1.60E-32,0,2184,1.70E-33,0,-1509,0.00E+00,0,0,0.4,300-2500,Tsang86,
30,O,CO2,CO,O2,-,2,2.80E-11,0,-26500,0.00E+00,0,0,0.00E+00,0,0,0,300-2500,Tsang86,
